Home Team,Away Team,Division / Cup,Ground,Scorer 1,Scorer 2,Result,Bat First,Won Toss,home team 1 st innings runs,home team 1 st innings wickets,home team 1 st innings overs,away team 1 st innings runs,away team 1 st innings wickets,away team 1st innings overs
Hucknall CC - 4th XI,West Bridgfordians CC - 5th XI,Division N,Newstead Abbey,,,Hucknall CC - 4th XI - Won,Hucknall CC - 4th XI,Hucknall CC - 4th XI,283,7,36,152,10,29.4
West Bridgfordians CC - 5th XI,"Collingham & District CC, Notts - 4th XI",Division N,Add New Ground,A A,,West Bridgfordians CC - 5th XI - Won,West Bridgfordians CC - 5th XI,"Collingham & District CC, Notts - 4th XI",178,8,36,133,10,32.4
Madni CC - 2nd XI,West Bridgfordians CC - 5th XI,Division N,Jubilee Park,,,Madni CC - 2nd XI - Won,Madni CC - 2nd XI,West Bridgfordians CC - 5th XI,173,9,36,133,10,32.4
West Bridgfordians CC - 5th XI,Coddington & Winthorpe CC - Development XI,Division N,Winthorpe Cricket Ground,,A A,Cancelled,,,,,,,,
West Bridgfordians CC - 5th XI,Byron Abbey CC - 1st XI,Division N,Farnborough Road,A A,,West Bridgfordians CC - 5th XI - Conceded,,,,,,,,
"Bottesford CC, Leics - 2nd XI",West Bridgfordians CC - 5th XI,Division N,Bottesford CC,A A,,"Bottesford CC, Leics - 2nd XI - Won",West Bridgfordians CC - 5th XI,West Bridgfordians CC - 5th XI,94,2,21.2,92,10,29.4
Whatton and Aslockton CC - 2nd XI,West Bridgfordians CC - 5th XI,Division N,Richard Lambourne Cricket Ground,,,West Bridgfordians CC - 5th XI - Won,West Bridgfordians CC - 5th XI,Whatton and Aslockton CC - 2nd XI,199,8,36,270,5,36
West Bridgfordians CC - 5th XI,Keyworth CC - 4th XI,Division N,Add New Ground,A A,,West Bridgfordians CC - 5th XI - Won,West Bridgfordians CC - 5th XI,West Bridgfordians CC - 5th XI,193,6,36,96,10,25.4
Bingham CC - 4th XI,West Bridgfordians CC - 5th XI,Division N,Croxton  Kerrial Sports Club,,,West Bridgfordians CC - 5th XI - Won,Bingham CC - 4th XI,Bingham CC - 4th XI,72,10,23,75,6,18.4
West Bridgfordians CC - 5th XI,"Caythorpe CC, Notts - 5th XI",Division N,Add New Ground,,,Abandoned,"Caythorpe CC, Notts - 5th XI","Caythorpe CC, Notts - 5th XI",,,,122,8,24
Wymeswold CC - 2nd XI,West Bridgfordians CC - 5th XI,Division N,Wymeswold Cricket Club,,,Wymeswold CC - 2nd XI - Won,West Bridgfordians CC - 5th XI,Wymeswold CC - 2nd XI,100,9,27.2,99,10,22.3
West Bridgfordians CC - 5th XI,Notts & Arnold Amateur CC - 4th XI,Division N,Add New Ground,,,West Bridgfordians CC - 5th XI - Won,West Bridgfordians CC - 5th XI,Notts & Arnold Amateur CC - 4th XI,187,10,31.5,151,10,31.4
"Oxton CC, Notts - 2nd XI",West Bridgfordians CC - 5th XI,Division N,Off Main Street,,,"Oxton CC, Notts - 2nd XI - Conceded",,,,,,,,
Awsworth CC - 1st XI,West Bridgfordians CC - 4th XI,Division J,Awsworth Recreation Ground,A B,A B,Awsworth CC - 1st XI - Won,Awsworth CC - 1st XI,West Bridgfordians CC - 4th XI,234,5,40,202,10,38.3
West Bridgfordians CC - 4th XI,"Bottesford CC, Leics - 1st XI",Division J,Adbolton Ground,A A,,"Bottesford CC, Leics - 1st XI - Won",West Bridgfordians CC - 4th XI,West Bridgfordians CC - 4th XI,93,10,26.3,96,5,20.5
Claypole CC - 1st XI,West Bridgfordians CC - 4th XI,Division J,Claypole Community Park ,,,Claypole CC - 1st XI - Won,West Bridgfordians CC - 4th XI,Claypole CC - 1st XI,63,0,9.1,60,10,23.4
West Bridgfordians CC - 4th XI,Farndon CC - 2nd XI,Division J,Adbolton Ground,A C,,Farndon CC - 2nd XI - Won,West Bridgfordians CC - 4th XI,West Bridgfordians CC - 4th XI,157,7,40,158,5,29
Midlands CC - 2nd XI,West Bridgfordians CC - 4th XI,Division J,Belvoir Cricket ground,B A,,Midlands CC - 2nd XI - Won,Midlands CC - 2nd XI,Midlands CC - 2nd XI,305,4,40,136,10,29
West Bridgfordians CC - 4th XI,"Stapleford CC, Notts - 1st XI",Division J,Adbolton Ground,A D,,West Bridgfordians CC - 4th XI - Won,West Bridgfordians CC - 4th XI,"Stapleford CC, Notts - 1st XI",187,8,40,114,10,32
Sohani CC Nottingham - 1st XI,West Bridgfordians CC - 4th XI,Division J,Burton Road,,,Cancelled,,,,,,,,
West Bridgfordians CC - 4th XI,Burton Joyce Lions CC - 2nd XI,Division J,Adbolton Ground,B B,,West Bridgfordians CC - 4th XI - Won,Burton Joyce Lions CC - 2nd XI,,102,1,33.1,101,10,27.5
Gotham Village CC - 2nd XI,West Bridgfordians CC - 4th XI,Division J,Gotham Village Cricket Club,A B,,Gotham Village CC - 2nd XI - Won,West Bridgfordians CC - 4th XI,Gotham Village CC - 2nd XI,151,5,33,150,7,40
West Bridgfordians CC - 4th XI,Awsworth CC - 1st XI,Division J,Adbolton Ground,A D,,Awsworth CC - 1st XI - Won,West Bridgfordians CC - 4th XI,Awsworth CC - 1st XI,101,10,35.4,102,5,25.3
"Bottesford CC, Leics - 1st XI",West Bridgfordians CC - 4th XI,Division J,Bottesford CC,,,"Bottesford CC, Leics - 1st XI - Won",West Bridgfordians CC - 4th XI,West Bridgfordians CC - 4th XI,167,3,37.5,166,6,40
West Bridgfordians CC - 4th XI,Claypole CC - 1st XI,Division J,Adbolton Ground,A B,,West Bridgfordians CC - 4th XI - Won,West Bridgfordians CC - 4th XI,Claypole CC - 1st XI,134,8,40,89,10,21.1
Farndon CC - 2nd XI,West Bridgfordians CC - 4th XI,Division J,Farndon Playing Field,,,West Bridgfordians CC - 4th XI - Won,Farndon CC - 2nd XI,West Bridgfordians CC - 4th XI,141,6,32,142,4,25.3
West Bridgfordians CC - 4th XI,Midlands CC - 2nd XI,Division J,Adbolton Ground,,,Midlands CC - 2nd XI - Won,West Bridgfordians CC - 4th XI,Midlands CC - 2nd XI,118,6,40,121,8,34
"Stapleford CC, Notts - 1st XI",West Bridgfordians CC - 4th XI,Division J,Beeston Fields,,,West Bridgfordians CC - 4th XI - Won,"Stapleford CC, Notts - 1st XI",West Bridgfordians CC - 4th XI,77,10,31,78,2,16
West Bridgfordians CC - 4th XI,Sohani CC Nottingham - 1st XI,Division J,Stamford Road,A B,,West Bridgfordians CC - 4th XI - Won,Sohani CC Nottingham - 1st XI,Sohani CC Nottingham - 1st XI,132,5,26.3,131,10,41.4
Burton Joyce Lions CC - 2nd XI,West Bridgfordians CC - 4th XI,Division J,Poplars Sports Pavillion,,,Burton Joyce Lions CC - 2nd XI - Won,West Bridgfordians CC - 4th XI,Burton Joyce Lions CC - 2nd XI,126,7,28.1,123,10,38.4
West Bridgfordians CC - 4th XI,Gotham Village CC - 2nd XI,Division J,Adbolton Ground,,,Gotham Village CC - 2nd XI - Won,West Bridgfordians CC - 4th XI,Gotham Village CC - 2nd XI,133,10,41.2,134,3,32.5
West Bridgfordians CC - 3rd XI,Caunton CC - 1st XI,Division E,Adbolton Ground,A E,,Caunton CC - 1st XI - Won,Caunton CC - 1st XI,West Bridgfordians CC - 3rd XI,163,10,30,233,2,32
Calverton CC - 2nd XI,West Bridgfordians CC - 3rd XI,Division E,The Rookery,,A C,Calverton CC - 2nd XI - Won,West Bridgfordians CC - 3rd XI,West Bridgfordians CC - 3rd XI,112,0,15.2,109,10,43
West Bridgfordians CC - 3rd XI,"Oxton CC, Notts - 1st XI",Division E,Adbolton Ground,A E,,West Bridgfordians CC - 3rd XI - Won,"Oxton CC, Notts - 1st XI",West Bridgfordians CC - 3rd XI,170,8,44.4,169,8,45
Plumtree CC - 3rd XI,West Bridgfordians CC - 3rd XI,Division E,Sutton Bonington Recreational Ground,,,Plumtree CC - 3rd XI - Won,West Bridgfordians CC - 3rd XI,West Bridgfordians CC - 3rd XI,193,9,42.4,188,7,45
West Bridgfordians CC - 3rd XI,Kimberley Institute CC - 3rd XI,Division E,Adbolton Ground,B C,,Kimberley Institute CC - 3rd XI - Won,Kimberley Institute CC - 3rd XI,West Bridgfordians CC - 3rd XI,88,10,27.1,184,10,42.4
Attenborough CC - 3rd XI,West Bridgfordians CC - 3rd XI,Division E,Chetwynd Barracks - NG9 6QX,,A B,West Bridgfordians CC - 3rd XI - Won,Attenborough CC - 3rd XI,West Bridgfordians CC - 3rd XI,157,8,40,160,5,36.1
West Bridgfordians CC - 3rd XI,Thrumpton CC - 1st XI,Division E,Adbolton Ground,A E,,Cancelled,,,,,,,,
West Bridgford Legion CC - 1st XI,West Bridgfordians CC - 3rd XI,Division E,West Park,,A F,West Bridgfordians CC - 3rd XI - Won,West Bridgfordians CC - 3rd XI,West Bridgfordians CC - 3rd XI,144,7,45,181,7,45
West Bridgfordians CC - 3rd XI,Bramcote CC - 1st XI,Division E,Adbolton Ground,A E,,Bramcote CC - 1st XI - Won,West Bridgfordians CC - 3rd XI,Bramcote CC - 1st XI,110,10,29.5,111,4,20.1
Caunton CC - 1st XI,West Bridgfordians CC - 3rd XI,Division E,Caunton Cricket Ground,A G,,Caunton CC - 1st XI - Won,West Bridgfordians CC - 3rd XI,West Bridgfordians CC - 3rd XI,131,2,17.4,130,10,41.1
West Bridgfordians CC - 3rd XI,Calverton CC - 2nd XI,Division E,Adbolton Ground,A E,,West Bridgfordians CC - 3rd XI - Won,Calverton CC - 2nd XI,Calverton CC - 2nd XI,156,3,29.5,154,9,45
"Oxton CC, Notts - 1st XI",West Bridgfordians CC - 3rd XI,Division E,Off Main Street,,,"Oxton CC, Notts - 1st XI - Won","Oxton CC, Notts - 1st XI","Oxton CC, Notts - 1st XI",226,6,45,197,10,43.5
West Bridgfordians CC - 3rd XI,Plumtree CC - 3rd XI,Division E,Adbolton Ground,,,Abandoned,Plumtree CC - 3rd XI,Plumtree CC - 3rd XI,,,,38,6,24.3
Kimberley Institute CC - 3rd XI,West Bridgfordians CC - 3rd XI,Division E,Basil Russell Playing Fields,B C,A E,Kimberley Institute CC - 3rd XI - Won,West Bridgfordians CC - 3rd XI,West Bridgfordians CC - 3rd XI,140,7,31.1,139,10,44.3
West Bridgfordians CC - 3rd XI,Attenborough CC - 3rd XI,Division E,Adbolton Ground,A B,A B,Attenborough CC - 3rd XI - Won,Attenborough CC - 3rd XI,West Bridgfordians CC - 3rd XI,79,10,32.1,109,10,36
Thrumpton CC - 1st XI,West Bridgfordians CC - 3rd XI,Division E,The Badger Sett,B D,A H,West Bridgfordians CC - 3rd XI - Won,Thrumpton CC - 1st XI,West Bridgfordians CC - 3rd XI,239,5,45,240,5,39.5
West Bridgfordians CC - 3rd XI,West Bridgford Legion CC - 1st XI,Division E,Adbolton Ground,A B,,West Bridgford Legion CC - 1st XI - Won,West Bridgfordians CC - 3rd XI,West Bridgfordians CC - 3rd XI,147,10,39.2,148,4,34.5
Bramcote CC - 1st XI,West Bridgfordians CC - 3rd XI,Division E,Bramcote Hills Park,B E,A H,Tied,Bramcote CC - 1st XI,Bramcote CC - 1st XI,185,6,45,185,9,45
West Bridgfordians CC - 2nd XI,Hoveringham CC - 1st XI,Division B,Stamford Road,A H,,,,,,,,,,
West Bridgfordians CC - 2nd XI,Long Eaton CC - 1st XI,Division B,Stamford Road,A F,B F,Abandoned,Long Eaton CC - 1st XI,West Bridgfordians CC - 2nd XI,99,1,18,159,9,35
Hoveringham CC - 1st XI,West Bridgfordians CC - 2nd XI,Division B,Derek Wright Pavillion,B G,A H,Hoveringham CC - 1st XI - Won,West Bridgfordians CC - 2nd XI,Hoveringham CC - 1st XI,151,2,24,149,10,36
"Caythorpe CC, Notts - 2nd XI",West Bridgfordians CC - 2nd XI,Division B,Caythorpe C.C.,B H,A C,"Caythorpe CC, Notts - 2nd XI - Won","Caythorpe CC, Notts - 2nd XI",West Bridgfordians CC - 2nd XI,309,8,50,115,10,26.4
West Bridgfordians CC - 2nd XI,Cavaliers and Carrington CC - 3rd XI,Division B,Stamford Road,A F,B J,West Bridgfordians CC - 2nd XI - Won,Cavaliers and Carrington CC - 3rd XI,West Bridgfordians CC - 2nd XI,160,3,26.1,159,10,39.2
Fiskerton & Thurgarton CC - 1st XI,West Bridgfordians CC - 2nd XI,Division B,Thurgarton,B K,A F,Fiskerton & Thurgarton CC - 1st XI - Won,West Bridgfordians CC - 2nd XI,Fiskerton & Thurgarton CC - 1st XI,229,6,46,227,9,50
West Bridgfordians CC - 2nd XI,Keyworth CC - 1st XI,Division B,Stamford Road,A F,B L,West Bridgfordians CC - 2nd XI - Won,Keyworth CC - 1st XI,West Bridgfordians CC - 2nd XI,222,5,41.1,219,10,44.2
Radcliffe-on-Trent CC - Saturday 2nd XI,West Bridgfordians CC - 2nd XI,Division B,Radcliffe-on-Trent Cricket Club,,A F,Cancelled,,,,,,,,
West Bridgfordians CC - 2nd XI,Notts Unity Casuals CC - 2nd XI,Division B,Stamford Road,A E,B K,Notts Unity Casuals CC - 2nd XI - Won,West Bridgfordians CC - 2nd XI,West Bridgfordians CC - 2nd XI,289,4,45,292,4,42.2
Madni CC - 1st XI,West Bridgfordians CC - 2nd XI,Division B,Add New Ground,B M,A F,Madni CC - 1st XI - Won,West Bridgfordians CC - 2nd XI,Madni CC - 1st XI,67,1,15.3,66,10,27.4
Long Eaton CC - 1st XI,West Bridgfordians CC - 2nd XI,Division B,Long Eaton Cricket Club ,B F,A B,Long Eaton CC - 1st XI - Won,Long Eaton CC - 1st XI,Long Eaton CC - 1st XI,244,10,48.4,231,10,50.2
West Bridgfordians CC - 2nd XI,Radcliffe-on-Trent CC - Saturday 2nd XI,Division B,Stamford Road,A F,B N,West Bridgfordians CC - 2nd XI - Won,Radcliffe-on-Trent CC - Saturday 2nd XI,Radcliffe-on-Trent CC - Saturday 2nd XI,169,4,23.2,168,10,42.5
West Bridgfordians CC - 2nd XI,"Caythorpe CC, Notts - 2nd XI",Division B,Stamford Road,A F,B H,West Bridgfordians CC - 2nd XI - Won,West Bridgfordians CC - 2nd XI,West Bridgfordians CC - 2nd XI,308,9,50,128,10,28.1
Cavaliers and Carrington CC - 3rd XI,West Bridgfordians CC - 2nd XI,Division B,Birchover Park,B J,,West Bridgfordians CC - 2nd XI - Won,Cavaliers and Carrington CC - 3rd XI,,126,9,40,127,4,20.2
West Bridgfordians CC - 2nd XI,Fiskerton & Thurgarton CC - 1st XI,Division B,Stamford Road,A H,B K,Fiskerton & Thurgarton CC - 1st XI - Won,West Bridgfordians CC - 2nd XI,West Bridgfordians CC - 2nd XI,207,8,50,208,4,42.1
Keyworth CC - 1st XI,West Bridgfordians CC - 2nd XI,Division B,Platt Lane,B P,A F,Keyworth CC - 1st XI - Won,Keyworth CC - 1st XI,Keyworth CC - 1st XI,195,10,43.2,126,10,32.5
Notts Unity Casuals CC - 2nd XI,West Bridgfordians CC - 2nd XI,Division B,Brian Wakefield Memorial Ground,B K,A H,West Bridgfordians CC - 2nd XI - Won,West Bridgfordians CC - 2nd XI,West Bridgfordians CC - 2nd XI,221,9,50,281,5,50
West Bridgfordians CC - 2nd XI,Madni CC - 1st XI,Division B,Stamford Road,A J,B Q,Madni CC - 1st XI - Won,Madni CC - 1st XI,West Bridgfordians CC - 2nd XI,233,10,44,305,8,50
West Bridgfordians CC - 2nd XI,Hoveringham CC 1st XI,Division B,Stamford Road,A H,,Match Abandoned,West Bridgfordians CC - 2nd XI,West Bridgfordians CC - 2nd XI,197,3,31,219,8,40
West Bridgfordians CC - 1st XI,Mansfield Hosiery Mills CC - 1st XI,Division 2,Stamford Road,A K,B R,West Bridgfordians CC - 1st XI - Won,West Bridgfordians CC - 1st XI,Mansfield Hosiery Mills CC - 1st XI,196,10,47.3,139,10,37.1
Cuckney CC - 2nd XI,West Bridgfordians CC - 1st XI,Division 2,The Bear Pit,B S,A K,West Bridgfordians CC - 1st XI - Won,Cuckney CC - 2nd XI,Cuckney CC - 2nd XI,218,9,50,91,1,17
West Bridgfordians CC - 1st XI,Notts Unity Casuals CC - 1st XI,Division 2,Stamford Road,A E,B T,West Bridgfordians CC - 1st XI - Won,Notts Unity Casuals CC - 1st XI,West Bridgfordians CC - 1st XI,196,7,38.5,195,10,49.3
West Bridgfordians CC - 1st XI,"Caythorpe CC, Notts - 1st XI",Division 2,Stamford Road,A L,B U,West Bridgfordians CC - 1st XI - Won,West Bridgfordians CC - 1st XI,"Caythorpe CC, Notts - 1st XI",206,10,40.3,201,10,48.4
Anston CC - 1st XI,West Bridgfordians CC - 1st XI,Division 2,Anston CC,B V,A K,West Bridgfordians CC - 1st XI - Won,Anston CC - 1st XI,West Bridgfordians CC - 1st XI,120,10,29.3,123,2,20.2
West Bridgfordians CC - 1st XI,Radcliffe-on-Trent CC - Saturday 1st XI,Division 2,Stamford Road,A K,B W,Radcliffe-on-Trent CC - Saturday 1st XI - Won,Radcliffe-on-Trent CC - Saturday 1st XI,West Bridgfordians CC - 1st XI,214,10,49.4,219,10,49
"Clifton Village CC, Notts - 1st XI",West Bridgfordians CC - 1st XI,Division 2,Clifton Oval,B X,A K,West Bridgfordians CC - 1st XI - Won,West Bridgfordians CC - 1st XI,"Clifton Village CC, Notts - 1st XI",204,9,42,273,6,42
West Bridgfordians CC - 1st XI,Kimberley Institute CC - 2nd XI,Division 2,Stamford Road,A K,,Cancelled,,,,,,,,
Gedling Colliery CC - 1st XI,West Bridgfordians CC - 1st XI,Division 2,Plains Road,B Y,A K,West Bridgfordians CC - 1st XI - Won,Gedling Colliery CC - 1st XI,Gedling Colliery CC - 1st XI,207,9,50,208,9,49.2
West Bridgfordians CC - 1st XI,Cavaliers and Carrington CC - 2nd XI,Division 2,Stamford Road,A K,B Z,West Bridgfordians CC - 1st XI - Won,Cavaliers and Carrington CC - 2nd XI,Cavaliers and Carrington CC - 2nd XI,83,4,17.2,79,10,31.3
West Bridgfordians CC - 1st XI,Cuckney CC - 2nd XI,Division 2,Stamford Road,A L,C A,West Bridgfordians CC - 1st XI - Won,Cuckney CC - 2nd XI,Cuckney CC - 2nd XI,143,6,37.3,142,10,45.3
Notts Unity Casuals CC - 1st XI,West Bridgfordians CC - 1st XI,Division 2,Brian Wakefield Memorial Ground,C B,A K,Notts Unity Casuals CC - 1st XI - Won,West Bridgfordians CC - 1st XI,West Bridgfordians CC - 1st XI,177,9,48.4,176,9,50
"Caythorpe CC, Notts - 1st XI",West Bridgfordians CC - 1st XI,Division 2,Caythorpe C.C.,B U,A K,"Caythorpe CC, Notts - 1st XI - Won",West Bridgfordians CC - 1st XI,"Caythorpe CC, Notts - 1st XI",188,4,41.2,187,10,46.3
West Bridgfordians CC - 1st XI,Anston CC - 1st XI,Division 2,Stamford Road,A B,B V,West Bridgfordians CC - 1st XI - Won,West Bridgfordians CC - 1st XI,Anston CC - 1st XI,204,4,41.3,113,9,31
Radcliffe-on-Trent CC - Saturday 1st XI,West Bridgfordians CC - 1st XI,Division 2,Radcliffe-on-Trent Cricket Club,B W,A K,West Bridgfordians CC - 1st XI - Won,West Bridgfordians CC - 1st XI,West Bridgfordians CC - 1st XI,97,10,31.1,428,5,50
Gedling & Sherwood CC - 1st XI,West Bridgfordians CC - 1st XI,Division 2,Regatta Way,C C,A B,West Bridgfordians CC - 1st XI - Won,West Bridgfordians CC - 1st XI,West Bridgfordians CC - 1st XI,135,10,41.4,242,9,50
West Bridgfordians CC - 1st XI,"Clifton Village CC, Notts - 1st XI",Division 2,Stamford Road,A K,B X,"Clifton Village CC, Notts - 1st XI - Won",West Bridgfordians CC - 1st XI,"Clifton Village CC, Notts - 1st XI",264,9,50,268,8,49.4
Kimberley Institute CC - 2nd XI,West Bridgfordians CC - 1st XI,Division 2,Kimberley Institute CC,C D,A K,West Bridgfordians CC - 1st XI - Won,West Bridgfordians CC - 1st XI,West Bridgfordians CC - 1st XI,150,10,27.3,281,4,50
West Bridgfordians CC - 1st XI,Gedling Colliery CC - 1st XI,Division 2,Stamford Road,A K,B Y,West Bridgfordians CC - 1st XI - Won,West Bridgfordians CC - 1st XI,West Bridgfordians CC - 1st XI,235,10,49.1,172,10,44.3
Cavaliers and Carrington CC - 2nd XI,West Bridgfordians CC - 1st XI,Division 2,Clinton Mike Oval,B Z,A K,Cavaliers and Carrington CC - 2nd XI - Won,West Bridgfordians CC - 1st XI,West Bridgfordians CC - 1st XI,108,7,23.1,106,10,34.1
West Bridgfordians CC - 1st XI,Gedling & Sherwood CC - 1st XI,Division 2,Stamford Road,A K,,West Bridgfordians CC - 1st XI - Won,West Bridgfordians CC - 1st XI,Gedling & Sherwood CC - 1st XI,229,7,50,201,10,47.4
Mansfield Hosiery Mills CC - 1st XI,West Bridgfordians CC - 1st XI,Division 2,Mansfield Hosiery Mills C.C.,,A M,Mansfield Hosiery Mills CC - 1st XI - Won,Mansfield Hosiery Mills CC - 1st XI,West Bridgfordians CC - 1st XI,239,10,47,219,10,47.1
